,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Going Down,Getting Ready... (World),Freddie King,1971,204333,61,0.565,0.0339,0.565,0.526,0.000119,0.11,-11.352,0.0365,167.936,4
1,Chains And Things,Indianola Mississippi Seeds,B.B. King,1970-01-01,293733,60,0.56,0.593,0.56,0.241,0.195,0.122,-15.385,0.0314,79.537,4
2,Double Trouble,The Essential Otis Rush,Otis Rush,1956,163440,53,0.566,0.669,0.566,0.424,0.00456,0.175,-8.689,0.0392,105.768,1
3,Two Bugs And A Roach,Two Bugs And A Roach,Earl Hooker,1990,259760,0,0.541,0.651,0.541,0.568,0.00563,0.1,-12.584,0.0752,135.275,4
4,I'm A King Bee,Best Of Slim Harpo,Slim Harpo,1997-11-04,183133,49,0.693,0.417,0.693,0.454,0.000315,0.156,-10.275,0.03,112.214,4
5,Rollin' Stone,The Chess Box,Muddy Waters,1989-11-07,188160,54,0.629,0.989,0.629,0.0192,4.3e-05,0.106,-19.952,0.0833,169.254,4
6,Ain't No Love In The Heart Of The City - Single Version,Dreamer,"Bobby ""Blue"" Bland",1974-01-01,233560,61,0.518,0.933,0.518,0.376,0.86,0.0976,-18.248,0.0431,158.089,4
7,Big Chief - Remastered,Crawfish Fiesta (Remastered with Bonus Track),Professor Longhair,1980,194666,52,0.56,0.219,0.56,0.73,0.144,0.179,-5.69,0.0362,151.594,4
8,Give Me Back My Wig,Hound Dog Taylor & The Houserockers,Hound Dog Taylor,1971-08-01,215800,50,0.642,0.0346,0.642,0.708,0.0103,0.0844,-13.402,0.0543,108.143,4
9,Leaving Trunk,Taj Mahal,Taj Mahal,1968,289560,57,0.542,0.195,0.542,0.502,0.00812,0.174,-10.607,0.0515,174.11,4
10,Wang Dang Doodle,Koko Taylor,Koko Taylor,1987-01-01,182826,44,0.648,0.343,0.648,0.544,2.93e-06,0.087,-8.963,0.179,153.063,4
11,Boogie Chillen,Hooker,John Lee Hooker,2009-06-19,189506,34,0.678,0.858,0.678,0.272,0.0236,0.109,-10.415,0.0525,149.128,4
12,All Your Love,The Essential Magic Sam: The Cobra and Chief Recordings 1957-1961,Magic Sam,2001,176186,52,0.433,0.843,0.433,0.7,0.324,0.102,-8.197,0.163,80.623,4
13,Trouble No More,The Allman Brothers Band (Deluxe),Allman Brothers Band,1969-11-04,227751,53,0.556,0.0581,0.556,0.567,0.00143,0.0907,-11.426,0.0333,141.345,4
14,Crosscut Saw - Mono Mix,Born Under A Bad Sign (Mono),Albert King,1967-01-01,156397,51,0.84,0.0217,0.84,0.412,0.784,0.041,-14.23,0.056,122.807,4
15,Why I Sing The Blues,Live And Well,B.B. King,1969-01-01,517400,56,0.792,0.239,0.792,0.495,0.00175,0.074,-11.603,0.0527,118.066,4
16,Part Time Love,This Is Clarence Carter,Clarence Carter,1968,161520,53,0.686,0.468,0.686,0.593,2.19e-05,0.352,-10.078,0.0597,92.82,4
17,I'm A Man,Bo Diddley,Bo Diddley,1957,164546,0,0.609,0.294,0.609,0.538,0.0,0.19,-15.646,0.0392,85.106,4
18,Mannish Boy,King Of The Electric Blues,Muddy Waters,1977,321133,65,0.598,0.44,0.598,0.735,0.000215,0.681,-10.882,0.0973,111.129,3
19,Now That I'm Down,The Son Seals Blues Band,Son Seals,1973,362400,0,0.497,0.475,0.497,0.341,7.47e-06,0.098,-13.635,0.174,137.634,3
20,The Things That I Used To Do,Sufferin' Mind,Guitar Slim,1991-01-01,180453,48,0.48,0.812,0.48,0.303,0.0,0.0889,-13.675,0.0384,98.282,3
21,Junker's Blues,Blues From The Gutter,Champion Jack Dupree,1958,192706,52,0.779,0.856,0.779,0.155,7.82e-06,0.0974,-21.57,0.112,103.252,4
22,Albert's Shuffle,Bloomfield-A Retrospective,Mike Bloomfield,1984,414960,51,0.303,0.197,0.303,0.492,0.63,0.288,-10.716,0.039,200.018,3
23,To Know You Is To Love You,To Know You Is To Love You,B.B. King,1973-01-01,515000,57,0.872,0.418,0.872,0.384,0.317,0.0687,-16.204,0.0388,102.597,4
24,Reconsider Baby,The Complete Chess Masters,Lowell Fulson,1997-01-01,189133,39,0.636,0.749,0.636,0.668,0.00121,0.0555,-6.857,0.0568,94.668,4
25,I'm Tore Down,Getting Ready... (World),Freddie King,1971,253333,55,0.64,0.616,0.64,0.496,4.63e-05,0.183,-11.124,0.0413,116.632,4
26,Got My Mojo Working,His Best 1956-1964 - The Chess 50th Anniversary Collection,Muddy Waters,1997-05-20,173040,51,0.519,0.573,0.519,0.779,8.13e-05,0.286,-9.159,0.0648,113.487,4
27,Crossroads - Live,The Cream Of Clapton,Eric Clapton,1995-03-07,255600,46,0.378,0.436,0.378,0.756,0.0351,0.867,-11.073,0.0673,131.577,4
28,Ain't Got Nobody,Genuine Houserocking Music,Hound Dog Taylor,1982,210493,47,0.536,0.165,0.536,0.723,0.00812,0.288,-13.898,0.0415,126.737,4
29,Boom Boom,Burnin',John Lee Hooker,1962-01-01,152350,60,0.441,0.62,0.441,0.455,0.00187,0.135,-14.207,0.0485,160.9,4
30,Stone Crazy,I Was Walkin' Through The Woods,Buddy Guy,1986-01-01,434693,43,0.526,0.803,0.526,0.467,9.68e-05,0.206,-11.641,0.0898,87.155,3
31,You Don't Want Me,Two Bugs And A Roach,Earl Hooker,1990,316666,0,0.592,0.509,0.592,0.464,0.000214,0.166,-16.925,0.0374,112.986,4
32,Hound Dog,Ball And Chain,Big Mama Thornton,1989,181000,0,0.552,0.704,0.552,0.542,3.59e-05,0.355,-10.862,0.0977,133.313,4
33,The Sky Is Crying,Shake Your Money Maker: The Best Of The Fire Sessions,Elmore James,2001-04-03,166400,55,0.294,0.0226,0.294,0.611,0.435,0.114,-6.268,0.0348,178.191,3
34,I Can't Quit You Baby,Poet Of the Blues (Mojo Workin'- Blues For The Next Generation),Willie Dixon,1947,399173,52,0.469,0.407,0.469,0.236,0.0434,0.215,-16.981,0.0364,82.232,4
35,All Your Love - Stereo,Bluesbreakers,John Mayall & The Bluesbreakers,1966-06-22,212600,60,0.321,0.491,0.321,0.625,5.08e-05,0.345,-5.219,0.0302,107.338,4
36,Born Under A Bad Sign - Mono Mix,Born Under A Bad Sign (Mono),Albert King,1967-01-01,169997,59,0.711,0.434,0.711,0.483,0.012,0.0284,-11.211,0.0298,91.652,4
37,The Thrill Is Gone,Anthology,B.B. King,2014-12-08,324266,0,0.554,0.224,0.554,0.516,0.286,0.0548,-6.819,0.0255,90.309,4
38,Scratch My Back,The Fabulous Thunderbirds,The Fabulous Thunderbirds,1979,232706,54,0.775,0.496,0.775,0.499,0.0219,0.114,-7.181,0.0415,121.056,4
39,Black Magic Woman - 2018 Remaster,The Pious Bird of Good Omen,Fleetwood Mac,1969-08-15,172693,0,0.457,0.0516,0.457,0.412,4.35e-05,0.275,-11.138,0.0369,129.423,4
40,Juke,The Essential Little Walter,Little Walter,1993-06-08,164893,52,0.566,0.751,0.566,0.657,0.896,0.156,-10.33,0.0693,145.359,4
41,Mean Old World,T-Bone Blues,T-Bone Walker,2005-03-29,247373,52,0.73,0.527,0.73,0.235,0.0112,0.0663,-15.276,0.0355,87.226,4
