,Name,Artist,Album,Release Date,Class
0,"""Süßer Trost, mein Jesus kömmt"" BWV 151",Johann Sebastian Bach,Bach: Cantatas Vol. 18 - Disc 1,2007-03-07,Classical
1,(Somebody) Loan Me a Dime,Pat O'Bryan,Uncle Pat's Imaginary Blues Band (Terlingua Bootleg),2015-07-12,Blues
2,¿Ustedes Son Pareja? / Asco tu programa amiga,DJ Ariel Style,Viraltube 9,2019-02-23,Reggaeton
3,100 Lbs of Collie,Various Artists,Reggae Cultural Lane 1,2010-03-02,Reggae & Dub
4,1-2-3! (Train With Me),Playahitty,1-2-3! (Train With Me),2010-06-21,Dance
5,"3 Lieder, Op. 22: No. 2. Mit Dir zu schweigen … (To be Silent with You …)",Erich Wolfgang Korngold,Korngold: Complete Songs,2015-11-06,Classical
6,33 mars,Danakil,Danakil Meets ONDUBGROUND,2017-11-17,Reggae & Dub
7,4 ME,GoKeeKeeGo,4 ME,2020-12-04,Rap
8,44 Blues,Little Arthur Duncan,Live at Rosa's Blues Lounge,2008-05-09,Blues
9,A Certain Continuum,Kurt Elling,A Certain Continuum,2020-01-24,Jazz
10,A Dancing Version,"Tommy McCook, The Aggrovators",Trojan Dub Collection,2009-02-23,Reggae & Dub
11,A Day In The Life,Wes Montgomery,Wes Montgomery: Finest Hour,2000-01-01,Jazz
12,A Dub Of Ice and Fire,Alborosie,Dub Of Thrones,2015-04-14,Reggae & Dub
13,A Dub Tribulation,Sly & Robbie,Sly & Robbie Meet Bunny Lee At Dub Station,2011-07-21,Reggae & Dub
14,A Fool For Your Stockings,Sonny Moorman,Sonny's Blues,2003-01-01,Blues
15,A King Version,Linval Thompson,Linval Thompson At King Tubbys With Dubs Platinum Edition,2012-04-18,Reggae & Dub
16,A Letter To Elise,The Cure,Wish,1992-01-01,Rock
17,A Lovely Day - Combichrist Remix,PORN,A Lovely Day (Combichrist Remix),2020-04-17,Metal
18,A Question of Light: No. 1. The Light of Coincidences (Magritte),Jake Heggie,Here/After,2013-10-21,Classical
19,A Rose Among Thorns (The Mission),Giorgia Fumanti,From My Heart,2007,Classical
20,A Spotless Rose,"Choir of King's College, Cambridge",Favourite Carols from King's,2014-12-26,Classical
21,A Time For Peace,Pochi Marambio y Tierra Sur,Seven Days Beneath The Sun,2014-12-15,Reggae & Dub
22,A Winter of Dub,Alborosie,Dub Of Thrones,2015-04-14,Reggae & Dub
23,Abduzcan / Auronplay,DJ Ariel Style,Viraltube 9,2019-02-23,Reggaeton
24,Abendlied Unterm Gestirnten Himmel,Ludwig van Beethoven,Beethoven: Lieder und Gesange,2009-01-01,Classical
25,Absyrations,Alfio Origlio,Absyrations,2019-05-31,Jazz
