,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,September,The Eternal Dance,"Earth, Wind & Fire",1992-09-08,214826,3,0.697,0.114,0.697,0.809,0.000521,0.183,-8.197,0.0302,125.941,4
1,Play That Funky Music,Wild Cherry,Wild Cherry,1976,300000,69,0.814,0.0435,0.814,0.672,0.0,0.061,-12.068,0.0619,109.394,4
2,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Tales From The Brothers Gibb,Bee Gees,1990-01-01,281666,0,0.712,0.0752,0.712,0.552,0.0012,0.15,-15.485,0.0363,103.604,4
3,Superstition,Number 1's,Stevie Wonder,2007-01-01,244826,0,0.648,0.0182,0.648,0.751,0.000401,0.0418,-8.582,0.0806,100.437,4
4,Get Down On It,20th Century Masters: The Millennium Collection: Best Of Kool & The Gang,Kool & The Gang,2000-01-01,213426,0,0.889,0.195,0.889,0.646,3.19e-05,0.0502,-6.366,0.0668,110.842,4
5,That's the Way (I Like It) - 2004 Remaster,KC & the Sunshine Band,KC & The Sunshine Band,1975,185106,61,0.68,0.191,0.68,0.877,0.000656,0.349,-10.241,0.0353,108.674,4
6,I'm Coming Out,Diana,Diana Ross,1980-05-22,323346,65,0.72,0.185,0.72,0.828,0.429,0.0839,-9.211,0.0462,110.071,4
7,I Got You (I Feel Good),I Got You (I Feel Good),James Brown & The Famous Flames,1966-01-01,165800,1,0.608,0.446,0.608,0.471,3.63e-06,0.369,-8.664,0.0945,70.702,3
8,Celebration - Single Version,Celebration / Morning Star,Kool & The Gang,2009-01-01,215653,66,0.843,0.0466,0.843,0.656,0.0187,0.169,-11.184,0.0595,121.112,4
9,Wake Me Up Before You Go-Go,Make It Big,Wham!,1984-10-23,231333,80,0.62,0.271,0.62,0.573,0.0,0.0607,-11.893,0.0423,81.548,4
10,Kung Fu Fighting,The Soul of the Kung Fu Fighter,Carl Douglas,2001,197693,68,0.598,0.0422,0.598,0.673,6.84e-05,0.289,-10.431,0.0693,102.035,4
11,Maniac - BOF Flashdance,80's Pop Number 1's,Various Artists,2007-01-01,247440,0,0.651,0.019,0.651,0.639,0.0,0.0522,-7.836,0.0583,157.738,4
12,Walk Of Life,Brothers In Arms (Remastered),Dire Straits,1985-05-13,249960,0,0.461,0.405,0.461,0.918,0.00033,0.126,-8.507,0.0959,172.435,4
13,What Cha' Gonna Do for Me,What Cha' Gonna Do for Me,Chaka Khan,1981,234266,44,0.684,0.221,0.684,0.64,0.0102,0.179,-9.906,0.0309,106.023,4
14,Give It Up,All In a Night's Work (Expanded Version),KC & The Sunshine Band,2016-03-11,254240,63,0.862,0.0192,0.862,0.624,0.000153,0.0465,-11.63,0.0565,124.896,4
15,Cheri Cheri Lady,Let's Talk About Love,Modern Talking,1985,226333,68,0.677,0.458,0.677,0.616,0.0132,0.349,-13.826,0.032,114.223,4
16,Brother Louie,Ready For Romance,Modern Talking,1986,222666,70,0.783,0.396,0.783,0.836,0.0236,0.135,-9.223,0.0486,108.966,4
17,I Like Chopin (Single Edit),The Collection,Gazebo,1998-07-13,248440,45,0.797,0.602,0.797,0.468,2.93e-05,0.0623,-9.28,0.0278,108.627,4
18,Ring My Bell,Ring My Bell,Anita Ward,2005-09-26,491933,0,0.78,0.0613,0.78,0.551,0.104,0.0331,-13.038,0.0625,126.009,4
19,Le Freak - Edit,Les Plus Grands Success De Chic - Chic's Greatest Hits,CHIC,1979,215693,55,0.832,0.0422,0.832,0.553,0.00356,0.249,-13.705,0.0487,119.825,4
